kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_steff
10811496,"K00753.01","FALSE POSITIVE","FALSE POSITIVE",19.89913995,175.850252,1.7822,10829,14.6,5853.00
10848459,"K00754.01","FALSE POSITIVE","FALSE POSITIVE",1.736952453,170.307565,2.40641,8079.2,33.46,5805.00
10854555,"K00755.01","CONFIRMED","CANDIDATE",2.525591777,171.59555,1.6545,603.3,2.75,6031.00
10872983,"K00756.01","CONFIRMED","CANDIDATE",11.09432054,171.20116,4.5945,1517.5,3.9,6046.00
10872983,"K00756.02","CONFIRMED","CANDIDATE",4.13443512,172.97937,3.1402,686,2.77,6046.00
9579641,"K00115.03","CANDIDATE","CANDIDATE",3.43591631,132.6624,3.133,23.2,0.55,5779.00
10872983,"K00756.03","CONFIRMED","CANDIDATE",2.56658897,179.55437,2.429,226.5,1.59,6046.00
5436502,"K00834.01","CONFIRMED","CANDIDATE",23.65369415,171.376107,8.2183,3341.8,7.89,5739.00
5436502,"K00834.02","CONFIRMED","CANDIDATE",13.23352214,140.32196,6.7372,504.6,3.06,5739.00
5436502,"K00834.03","CONFIRMED","CANDIDATE",6.15560285,134.81656,4.9843,285,2.32,5739.00
5436502,"K00834.04","CONFIRMED","CANDIDATE",2.090811305,134.17462,3.388,115.9,1.62,5739.00
5436502,"K00834.05","CONFIRMED","CANDIDATE",50.4467417,178.5014,7.159,370.3,2.67,5739.00
9471974,"K00119.01","CONFIRMED","CANDIDATE",49.18394185,141.911924,11.3364,1646.2,8.2,5626.00
5456651,"K00835.01","CONFIRMED","CANDIDATE",11.76307164,180.93613,2.9076,1037.3,2.35,4959.00
7907423,"K00899.03","CONFIRMED","CANDIDATE",15.36845737,147.38965,2.4714,756.1,1.11,3561.00
7938496,"K00900.01","CONFIRMED","CANDIDATE",13.81020318,172.33533,3.048,1309.7,4.56,5942.00
8013419,"K00901.01","CANDIDATE","CANDIDATE",12.732624065,176.939054,2.2083,6465.7,4.87,3950.00
8018547,"K00902.01","CANDIDATE","CANDIDATE",83.92494032,236.76334,6.7904,7958.7,4.78,3960.00
8039892,"K00903.01","CONFIRMED","CANDIDATE",5.007316661,173.433997,4.2362,6932.3,6.96,5865.00
5897826,"K00126.01","FALSE POSITIVE","FALSE POSITIVE",33.80364366,202.259731,11.4813,13494.4,20.7,5855.00
8150320,"K00904.01","CONFIRMED","CANDIDATE",2.211116989,170.150139,1.6485,724.2,1.85,4500.00
8561063,"K00961.02","CONFIRMED","FALSE POSITIVE",0.453287416,133.869741,0.4445,1461.5,0.76,3292.00
8561063,"K00961.03","CONFIRMED","CANDIDATE",1.865114193,133.792344,0.4279,1124.8,0.66,3292.00
